subjectID,block,seqID,itemID,button,relRT
7,training1,1,1,3,10.245898962
7,training1,1,2,1,12.0675039291
7,training1,1,3,1,14.2497549057
7,training1,1,4,2,15.4084079266
7,training1,1,5,4,16.7003319263
7,training1,1,6,3,17.9225039482
7,training1,1,7,1,18.352421999
7,training1,1,8,2,18.8824670315
7,training1,1,9,4,19.8064768314
7,training2,1,1,2,4.33730888367
7,training2,1,2,3,5.19728398323
7,training2,2,1,1,1.02978682518
7,training2,2,2,2,1.69337487221
7,training2,3,1,2,1.02691292763
7,training2,3,2,2,1.45619702339
7,training2,4,1,2,0.928441047668
7,training2,4,2,4,1.25811815262
7,training2,5,1,3,4.86354184151
7,training2,5,2,4,5.32991981506
7,training2,6,1,1,0.796617031097
7,training2,6,2,4,1.22506403923
7,training2,7,1,1,1.82087111473
7,training2,7,2,1,2.2510008812
7,training2,8,1,4,0.370579004288
7,training2,8,2,4,0.638155937195
7,training2,9,1,3,1.13016700745
7,training2,9,2,2,1.52627086639
7,training2,10,1,4,1.62356996536
7,training2,10,2,1,2.0541369915
7,training2,11,1,4,0.964414834976
7,training2,11,2,2,1.3607878685
7,training2,12,1,2,1.19450998306
7,training2,12,2,1,2.22082686424
7,training2,13,1,3,3.27724599838
7,training2,13,2,1,3.74067401886
7,training2,14,1,4,2.48275303841
7,training2,14,2,3,3.04551196098
7,training2,15,1,3,0.466391086578
7,training2,15,2,3,0.931661128998
7,training2,16,1,1,1.65965795517
7,training2,16,2,3,2.15541005135
7,block1,1,1,1,2.38189387321
7,block1,1,2,1,3.10847902298
7,block1,1,3,3,3.9783809185
7,block1,2,1,4,0.00208902359009
7,block1,2,2,4,1.6992790699
7,block1,2,3,3,2.82489395142
7,block1,2,4,2,5.41330695152
7,block1,2,5,1,6.40685796738
7,block1,2,6,4,7.23218798637
7,block1,2,7,1,7.86451101303
7,block1,2,8,1,8.73170590401
7,block1,2,9,2,10.2567989826
7,block1,3,1,1,2.08230996132
7,block1,3,2,1,2.77828502655
7,block1,3,3,4,3.47250699997
7,block1,3,4,3,4.16885495186
7,block1,3,5,1,5.06240296364
7,block1,3,6,1,5.79326605797
7,block1,3,7,2,6.78524804115
7,block1,3,8,4,7.84063315392
7,block1,3,9,3,9.53206110001
7,block1,3,10,1,11.6481950283
7,block1,4,1,4,1.85334205627
7,block1,4,2,2,3.54519510269
7,block1,4,3,1,6.33182907104
7,block1,4,4,3,7.09265899658
7,block1,4,5,4,7.75527095795
