1,5,training1,,12312312312312312312312312313321321112312132132133322332211133131123331323133221122321231221211133212323323211323311123221232123231323212311323212323332312133121233132331212321213221322132213221323121123123321232,
1,5,training2,2,1,
1,5,training2,2,2,
1,5,training2,1,1,
1,5,training2,3,3,
1,5,training2,1312,3,
1,5,training2,1312,1312,
1,5,training2,2213,2213,
1,5,training2,3231,321,
1,5,training2,3231,1,
1,5,training2,3231,2,
1,5,training2,3231,31,
1,5,training2,3231,3232,
1,5,training2,3231,3231,
1,5,training2,3321,3321,
1,5,training2,2123,2123,
1,5,training2,1132,112,
1,5,training2,1132,3,
1,5,training2,1132,1132,
1,5,block1,332311221,12321,44
1,5,block1,332321211,33213212,66
1,5,block1,212312331,13213,44
1,5,block1,333221112,3213,33
1,5,block1,222131313,221233211,44
1,5,block1,112332321,11233212,77
1,5,block1,133322211,12321,44
1,5,block1,312311223,1,11
1,5,block1,113232132,21,22
1,5,block1,213323121,2,11
1,5,block1,122211333,1222312,55
1,5,block1,113223123,1132322,66
1,5,block1,213321123,32123,55
1,5,block1,112231233,12332123,55
1,5,block1,112212333,112232123,66
1,5,block1,321223131,321123,55
1,5,block1,211212333,1,11
1,5,block1,232111233,121321,33
1,5,block1,321332211,3123212321,50
1,5,block1,133132122,13132132,77
1,5,block2,332311221,1123221123,40
1,5,block2,212312331,212321321,66
1,5,block2,222131313,22232121313,72
1,5,block2,122211333,122231112,55
1,5,block2,112212333,1321211232,50
1,5,block2,112332321,1232123,55
1,5,block2,213323121,1232123213,40
1,5,block2,321332211,1321231123,40
1,5,block2,133322211,332211,66
1,5,block2,321223131,1221233212,40
1,5,block2,332321211,3212232123,50
1,5,block2,312311223,21321123,55
1,5,block2,213321123,23212321,44
1,5,block2,211212333,12122133,55
1,5,block2,333221112,133312212,55
1,5,block2,113232132,31123212,66
1,5,block2,112231233,11232312332,81
1,5,block2,232111233,321232233112,41
1,5,block2,113223123,32112323,44
1,5,block2,133132122,12133132123,72
