subjectID,block,seqID,itemID,button,relRT
2,training1,1,1,1,4.64117288589
2,training1,1,2,3,5.83042407036
2,training1,1,3,4,6.79047298431
2,training1,1,4,2,7.38712286949
2,training1,1,5,2,8.01472806931
2,training1,1,6,4,8.47708892822
2,training1,1,7,3,8.80832886696
2,training1,1,8,1,9.20449185371
2,training1,1,9,1,10.4625899792
2,training1,1,10,3,11.6559679508
2,training1,1,11,4,12.2494990826
2,training1,1,12,2,12.6142148972
2,training1,1,13,1,18.31199193
2,training1,1,14,3,18.8738689423
2,training1,1,15,4,19.3690190315
2,training1,1,16,2,19.7326989174
2,training2,1,1,1,1.16544508934
2,training2,1,2,3,1.43012404442
2,training2,2,1,2,0.697039842606
2,training2,2,2,4,0.929474830627
2,training2,3,1,1,0.895534038544
2,training2,3,2,4,3.81986904144
2,training2,4,1,2,2.01755404472
2,training2,4,2,3,3.04232096672
2,training2,5,1,2,2.71540808678
2,training2,5,2,1,3.3141040802
2,training2,6,1,4,0.597378015518
2,training2,6,2,3,0.829298019409
2,training2,7,1,3,4.70169901848
2,training2,7,2,1,6.52359294891
2,training2,7,3,1,6.98557281494
2,training2,8,1,2,1.45558691025
2,training2,8,2,2,2.11856389046
2,training2,8,3,3,2.5173869133
2,training2,9,1,4,0.470717191696
2,training2,9,2,4,0.802812099457
2,training2,9,3,1,1.20075011253
2,training2,10,1,3,0.797141075134
2,training2,10,2,3,1.16076588631
2,training2,10,3,4,1.49170899391
2,training2,11,1,1,1.32473111153
2,training2,11,2,4,1.85291218758
2,training2,11,3,1,2.28254103661
2,training2,11,4,4,2.714854002
2,training2,12,1,3,0.101480960846
2,training2,12,2,2,0.465528011322
2,training2,12,3,2,0.730459928513
2,training2,12,4,3,1.36033701897
2,training2,13,1,1,0.0680668354034
2,training2,13,2,3,0.431396961212
2,training2,13,3,4,0.892963886261
2,training2,13,4,2,1.191177845
2,training2,14,1,3,0.265717029572
2,training2,14,2,2,1.25696110725
2,training2,14,3,4,2.57940411568
2,training2,14,4,1,2.97631597519
2,training2,15,1,1,0.0350949764252
2,training2,15,2,1,0.101392030716
2,training2,15,3,1,1.42963600159
2,training2,15,1,4,3.8243689537
2,training2,15,1,4,4.89664912224
2,training2,15,1,1,2.74815607071
2,training2,15,2,1,3.27502989769
2,training2,15,3,4,3.90300297737
2,training2,15,4,4,4.33381295204
2,block1,1,1,1,20.1992690563
2,block1,2,1,4,0.00219392776489
2,block1,3,1,1,68.3705101013
2,block1,3,2,3,69.0318930149
2,block1,3,3,4,69.7614619732
2,block1,3,4,4,70.5891160965
2,block1,3,5,4,70.8551371098
2,block1,3,6,4,71.1525509357
2,block1,3,7,4,71.4826490879
2,block1,3,8,4,71.7474119663
2,block1,3,9,4,72.0116670132
2,block1,3,10,4,72.242454052
2,block1,3,11,4,72.4738349915
