subjectID,block,seqID,itemID,button,relRT
35,training1,1,1,2,1.23104500771
35,training1,1,2,3,2.02752113342
35,training1,1,3,1,2.55857014656
35,training1,1,4,4,3.12076616287
35,training1,1,5,1,3.55043506622
35,training1,1,6,2,7.22462797165
35,training1,1,7,3,7.75457596779
35,training1,1,8,1,8.25062513351
35,training1,1,9,4,9.01084399223
35,training1,1,10,2,9.60697317123
35,training1,1,11,3,10.1699690819
35,training1,1,12,1,10.6328911781
35,training1,1,13,4,11.1958861351
35,training1,1,14,2,11.7246031761
35,training1,1,15,1,12.2522881031
35,training1,1,16,3,12.750603199
35,training1,1,17,4,13.2462780476
35,training1,1,18,2,13.7761790752
35,training1,1,19,1,14.3042721748
35,training1,1,20,3,14.8368990421
35,training1,1,21,4,15.3342251778
35,training1,1,22,1,15.8632590771
35,training1,1,23,3,16.3926210403
35,training1,1,24,2,16.8584361076
35,training1,1,25,3,17.3558871746
35,training1,1,26,1,17.8188371658
35,training1,1,27,4,18.3162009716
35,training2,1,1,2,0.497210979462
35,training2,1,2,3,1.06100988388
35,training2,2,1,2,0.399514198303
35,training2,2,2,2,0.960961103439
35,training2,3,1,1,0.397683858871
35,training2,3,1,4,1.46909189224
35,training2,3,1,3,2.80400681496
35,training2,3,2,1,3.26539587975
35,training2,4,1,4,0.299372911453
35,training2,4,2,1,0.7955930233
35,training2,5,1,2,0.562834978104
35,training2,5,1,3,1.63418102264
35,training2,5,2,2,2.06669211388
35,training2,6,1,1,0.332417964935
35,training2,6,2,4,0.893911838531
35,training2,6,1,1,1.96471500397
35,training2,6,2,2,2.4951839447
35,training2,7,1,4,0.332275152206
35,training2,7,2,4,0.863379001617
35,training2,8,1,3,0.366178035736
35,training2,8,1,2,1.43714594841
35,training2,8,2,1,2.40195298195
35,training2,8,1,2,3.47338795662
35,training2,8,2,4,3.83572506905
35,training2,9,1,1,0.299277067184
35,training2,9,1,3,1.36995720863
35,training2,9,1,4,2.4075050354
